"crisis","indice","cluster","es_regimen_agudo","n_ventanas","prop_en_fase_aguda","score_tension","centro_rent_anual","centro_volatilidad","centro_drawdown","centro_correlacion"
"crisis2022","^GSPTSE",2,TRUE,81,0.9136,4.9459,-1.3047,1.0984,-1.2227,1.3201
"crisis2022","^GSPTSE",3,FALSE,121,0.3802,-1.0221,0.3842,0.0171,0.2096,-0.4455
"crisis2022","^GDAXI",1,FALSE,66,0.1364,-1.441,0.9863,-0.1341,0.1384,-0.1822
"crisis2022","^GDAXI",2,FALSE,89,0.1011,-3.7476,0.4283,-1.1189,1.1168,-1.0836
"crisis2022","^GDAXI",3,TRUE,109,0.9358,3.9325,-0.9469,0.9948,-0.9957,0.9951
"crisis2022","^FCHI",1,FALSE,88,0.5,0.8188,-0.0702,0.0019,-0.3095,0.4372
"crisis2022","^FCHI",2,TRUE,63,1,5.351,-1.2682,1.5468,-1.3748,1.1612
"crisis2022","^FCHI",3,FALSE,113,0.115,-3.6209,0.7617,-0.8638,1.0075,-0.9878
"crisis2022","^FTSE",1,FALSE,103,0.1748,-3.37,0.4884,-0.8554,1.1885,-0.8377
"crisis2022","^FTSE",2,FALSE,54,0.037,-0.8228,0.4304,-0.5324,-0.7328,-0.5928
"crisis2022","^FTSE",3,TRUE,107,0.9346,3.6593,-0.6874,1.0921,-0.7742,1.1055
"crisis2022","^IBEX",1,TRUE,63,1,4.3478,-0.5494,1.693,-0.9611,1.1443
"crisis2022","^IBEX",2,FALSE,117,0.1368,-3.1039,0.5087,-0.6762,0.9472,-0.9717
"crisis2022","^IBEX",3,FALSE,84,0.4881,1.0625,-0.2965,-0.3279,-0.5985,0.4953
"crisis2022","FTSEMIB.MI",1,FALSE,69,0.1304,-1.9927,1.0061,-0.2615,0.4529,-0.2722
"crisis2022","FTSEMIB.MI",2,FALSE,88,0.1023,-3.5796,0.4824,-1.0747,1.0007,-1.0218
"crisis2022","FTSEMIB.MI",3,TRUE,107,0.9533,4.229,-1.0455,1.0525,-1.115,1.0159
"crisis2022","^SSMI",1,TRUE,107,0.9533,3.9641,-0.9306,0.9704,-0.9882,1.075
"crisis2022","^SSMI",2,FALSE,117,0.1538,-1.6468,0.3634,-0.3814,0.318,-0.584
"crisis2022","^SSMI",3,FALSE,40,0,-5.7872,1.4266,-1.48,1.7132,-1.1674
"crisis2022","^AEX",1,FALSE,92,0.5109,0.7033,-0.0047,0.1755,-0.299,0.2241
"crisis2022","^AEX",2,FALSE,105,0.0857,-3.9344,0.9076,-0.9932,1.0727,-0.961
"crisis2022","^AEX",3,TRUE,67,0.9552,5.2002,-1.4158,1.3155,-1.2705,1.1984
"crisis2022","^N225",1,FALSE,127,0.1181,-1.8295,0.038,-0.416,0.4891,-0.8863
"crisis2022","^N225",2,FALSE,74,0.5676,-1.2676,0.8349,-0.5613,0.4325,0.561
"crisis2022","^N225",3,TRUE,63,1,5.177,-1.0573,1.4979,-1.494,1.1278
"crisis2022","^HSI",1,TRUE,83,0.747,3.2254,-0.8161,0.6629,-1.0328,0.7135
"crisis2022","^HSI",2,FALSE,137,0.4234,-1.7932,0.0328,-0.8119,0.8458,-0.1028
"crisis2022","^HSI",3,FALSE,44,0,-0.5009,1.4374,1.2773,-0.6851,-1.0259
"crisis2022","^KS11",1,FALSE,53,0,0.5354,1.0281,1.146,-0.1031,0.3144
"crisis2022","^KS11",2,FALSE,88,0.1023,-3.8903,0.4574,-1.1703,1.0448,-1.2178
"crisis2022","^KS11",3,TRUE,123,0.9024,2.5526,-0.7703,0.3435,-0.703,0.7358
"crisis2022","^AXJO",1,FALSE,98,0.3776,-0.0798,0.4406,0.4646,-0.0922,-0.196
"crisis2022","^AXJO",2,TRUE,78,0.9487,4.481,-1.1638,0.8923,-1.104,1.3209
"crisis2022","^AXJO",3,FALSE,88,0.1023,-3.883,0.5408,-1.3083,1.0813,-0.9526
"crisis2022","^BVSP",1,TRUE,64,1,3.2184,-0.2911,0.7753,-0.7801,1.3719
"crisis2022","^BVSP",2,FALSE,97,0.268,0.8733,-0.7735,0.4649,-0.4917,-0.8568
"crisis2022","^BVSP",3,FALSE,103,0.2913,-2.8222,0.9094,-0.9195,0.9478,-0.0455
"crisis2022","^BSESN",1,FALSE,40,0,-5.0891,1.3207,-1.1445,1.5982,-1.0258
"crisis2022","^BSESN",2,FALSE,128,0.1875,-1.6679,0.3509,-0.532,0.3401,-0.4449
"crisis2022","^BSESN",3,TRUE,96,1,4.3443,-1.0182,1.1862,-1.1193,1.0206
"crisis2022","^MXX",1,FALSE,100,0.15,-3.2698,0.459,-1.0464,0.7806,-0.9839
"crisis2022","^MXX",2,FALSE,87,0.3563,-0.4918,0.6201,0.2117,0.3658,0.2824
"crisis2022","^MXX",3,TRUE,77,0.961,4.8023,-1.2967,1.1198,-1.427,0.9587
"crisis2022","000001.SS",1,FALSE,81,0.3086,0.871,-0.1567,0.1331,-0.2047,0.3765
"crisis2022","000001.SS",2,TRUE,59,1,5.3506,-1.2503,1.3374,-1.5642,1.1986
"crisis2022","000001.SS",3,FALSE,124,0.2903,-3.1148,0.6972,-0.7233,0.878,-0.8162
"crisis2022","^TWII",1,FALSE,82,0,0.0447,0.6341,0.9682,-0.2131,-0.5026
"crisis2022","^TWII",2,FALSE,90,0.4778,-3.4256,0.6242,-1.1365,1.1438,-0.5212
"crisis2022","^TWII",3,TRUE,92,0.837,3.3114,-1.1758,0.2488,-0.929,0.9578
"crisis2022","^JKSE",1,FALSE,113,0.469,-1.7624,0.844,-0.0238,1.0379,0.1433
"crisis2022","^JKSE",2,TRUE,66,1,3.5412,-0.2337,1.1724,-0.9475,1.1876
"crisis2022","^JKSE",3,FALSE,85,0.0118,-0.4066,-0.9406,-0.8787,-0.644,-1.1126
